Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	Continent	timetree_rate	timetree_rate_fold_change	timetree_mutation_length	timetree_raw_date	timetree_num_date	timetree_num_date_confidence	timetree_num_date_bar	timetree_clock_length	timetree_coord_x	timetree_coord_y	timetree_reg_x	timetree_reg_y	timetree_reg_bad
NODE0	NA	NA	0.0	black	0.001	17.668038534000516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.439414770596697e-09	1.0	0.001	-5039-05-12	-5038.640477159075	[-5442.985609082836, -4834.798556343014]	[7463.985609082836, 6855.798556343014]	0.1	0.1	17.668038534000516	-5038.640477159075	0.0	False
NODE1	NA	NA	2.7248e-06	black	0.0010032427206709846	2.078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.809704068745085e-09	0.780935631080441	3.24272067098446e-06	-4482-10-16	-4481.209519840799	[-4694.611696456615, -4217.604896913985]	[6715.611696456615, 6238.604896913985]	557.4309573182763	557.5309573182764	2.078125	-4481.209519840799	3.24272067098446e-06	False
SAMEA3541827	NA	NA	3.840800000000006e-06	grey	0.0010067018071578133	1.0	RISE509	[-2876:-2677]	[-4897:-4698]	Russia	Krasnoyarsk Krai	64.6863136	97.7453061	63.3233807	97.09799740000001	Bronze Age	0.PRE	0.PRE2	SAMEA3541827	KEEP: SRA Ancient	0	Europe	2.197994756946624e-09	0.295452643080731	3.459086486828684e-06	-2876-10-24	-2875.1869213349714	[-2875.9999999999995, -2688.702419757245]	[4897.0, 4709.702419757245]	1606.0225985058273	2163.5535558241036	1.0	-2776.5	6.701807157813144e-06	False
NODE2	NA	NA	1.3422399999999995e-05	black	0.0010116738327080564	3.15625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0792653266698759e-08	1.4507395540513877	8.43111203707176e-06	-3695-02-01	-3694.914250016683	[-3884.5179440592624, -3547.9462181107815]	[5905.517944059262, 5568.946218110781]	786.2952698241156	1343.8262271423919	3.15625	-3694.914250016683	1.167383270805622e-05	False
SAMEA104233046	NA	NA	2.233000000000004e-06	grey	0.0010136197203715453	2.0	Gyvakarai1	[-2621:-2472]	[-4642:-4493]	Lithuania	Panevezys County	55.350000300000005	23.7499997	55.9156048	25.03115989218585	Bronze Age	0.PRE	0.PRE1	SAMEA104233046	KEEP: SRA Ancient	0	Europe	1.8556111487525251e-09	0.2494297207471995	1.94588766348885e-06	-2621-01-01	-2620.9998655808236	[-2620.9999999999995, -2479.872880823989]	[4642.0, 4500.872880823988]	1073.9143844358596	2417.7406115782514	2.0	-2546.5	1.361972037154507e-05	False
NODE3	NA	NA	1.3476200000000005e-05	black	0.0010283199398892545	4.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8505365087932614e-08	2.4874759182768815	1.6646107181198168e-05	-2796-04-26	-2795.684077200494	[-2957.252292430018, -2877.677052437741]	[4978.252292430017, 4898.677052437741]	899.2301728161892	2243.056399958581	4.3125	-2795.684077200494	2.831993988925439e-05	False
SAMEA104233047	NA	NA	2.651000000000053e-07	grey	0.0010285361631829453	3.0	KunilaII	[-2574:-2340]	[-4595:-4361]	Estonia	Pärnu maakond	58.75237779999999	25.3319078	58.31950685	24.30261214859043	Bronze Age	0.PRE	0.PRE1	SAMEA104233047	KEEP: SRA Ancient	0	Europe	1.0914905139320544e-09	0.14671725499780258	2.1622329369067572e-07	-2574-01-01	-2573.9998655808245	[-2562.3000000000006, -2339.9999999999995]	[4583.300000000001, 4361.0]	221.68421161966944	2464.7406115782505	3.0	-2457.0	2.8536163182945064e-05	False
NODE4	NA	NA	1.0987000000000036e-06	black	0.0010289684857486298	5.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7819962858010396e-08	2.3953447156141157	6.485458593753838e-07	-2760-07-17	-2759.4594560846376	[-2872.518654726145, -2792.5539411478517]	[4893.5186547261455, 4813.553941147851]	36.22462111585628	2279.2810210744374	5.625	-2759.4594560846376	2.8968485748629773e-05	False
NODE5	NA	NA	1.1723999999999958e-06	black	0.0010300493909694097	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0267885555969435e-09	0.8101159488266508	1.0809052207799966e-06	-2568-12-17	-2567.038645206229	[-2543.0076703833824, -2502.947727549418]	[4564.007670383382, 4523.947727549417]	192.4208108784087	2471.701831952846	4.5	-2567.038645206229	3.004939096940977e-05	False
SAMEA6812876	NA	NA	2.3449999999999242e-07	grey	0.0010302655958310675	4.0	GLZ001	[-2838:-2495]	[-4859:-4516]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812876	KEEP: SRA Ancient	0	Europe	7.439414770596697e-09	1.0	2.162048616577599e-07	-2538-01-09	-2537.976565953398	[-2523.282250393119, -2494.9999999999995]	[4544.282250393118, 4516.0]	29.0620792528307	2500.763911205677	4.0	-2666.5	3.026559583106753e-05	False
SAMEA6812877	NA	NA	2.33999999999971e-08	grey	0.0010300493909694097	5.0	GLZ002	[-2569:-2467]	[-4590:-4488]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812877	KEEP: SRA Ancient	0	Europe	7.439414770596697e-09	1.0	8.797878878732837e-20	-2568-12-17	-2567.038645206229	[-2568.9999999999995, -2466.9999999999995]	[4590.0, 4488.0]	0.0	2471.701831952846	5.0	-2518.0	3.004939096940986e-05	False
NODE6	NA	NA	1.0900700000000002e-05	black	0.001038696692601946	6.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4307161662643876e-08	3.26734863052867	9.728206853316186e-06	-2362-04-11	-2361.7252389623504	[-2306.9721660604723, -2195.9856337719725]	[4327.972166060472, 4216.985633771972]	397.7342171222872	2677.0152381967246	6.75	-2361.7252389623504	3.869669260194596e-05	False
SAMEA104233049	NA	NA	2.550999999999834e-07	grey	0.001038912877569282	6.0	1343UnTal85	[-2396:-2148]	[-4417:-4169]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233049	KEEP: SRA Ancient	0	Europe	7.439414770596697e-09	1.0	2.1618496733587385e-07	-2333-05-02	-2332.6658338878665	[-2305.81188039199, -2185.4098738876614]	[4326.81188039199, 4206.409873887662]	29.059405074483948	2706.0746432712085	6.0	-2272.0	3.891287756928183e-05	False
NODE7	NA	NA	1.2683699999999995e-05	black	0.0010503705798035	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5681243799120696e-08	3.4520516184448296	1.1673887201554037e-05	-1915-01-20	-1914.9462228806128	[-1938.6187160241084, -1890.8160611884264]	[3959.6187160241084, 3911.8160611884264]	446.7790160817376	3123.794254278462	7.5	-1914.9462228806128	5.03705798035e-05	False
SAMEA104233048	NA	NA	7.643000000000022e-07	grey	0.0010510192370967665	7.0	Post6	[-2007:-1882]	[-4028:-3903]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233048	KEEP: SRA Ancient	0	Europe	1.9688285638504314e-08	2.646483123419823	6.486572932664602e-07	-1882-01-01	-1881.9998655808245	[-1903.6615215760085, -1882.0]	[3924.6615215760085, 3903.0]	32.94635729978836	3156.7406115782505	7.0	-1944.5	5.1019237096766456e-05	False
SAMEA3541826	NA	NA	3.2198999999999927e-06	grey	0.0010529649350525	8.0	RISE505	[-1746:-1626]	[-3767:-3647]	Russia	Altai Krai	64.6863136	97.7453061	52.693224300000004	82.69314240000001	Bronze Age	0.PRE	0.PRE1	SAMEA3541826	KEEP: SRA Ancient	0	Europe	9.227649517556926e-09	1.2403730403670985	2.5943552489999245e-06	-1634-05-19	-1633.6216013681242	[-1725.5810659810577, -1626.0]	[3746.5810659810577, 3647.0]	281.32462151248865	3405.118875790951	8.0	-1686.0	5.296493505249992e-05	False
NODE8	NA	NA	2.724799999999996e-06	black	0.0010017294628444642	33.25795206800103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.062772575842324e-09	1.218210417795461	1.7294628444640462e-06	-4844-02-17	-4843.869915169249	[-4931.699873375514, -4308.213081522419]	[6952.699873375514, 6329.213081522419]	194.7705619898261	194.8705619898261	33.25795206800103	-4843.869915169249	1.7294628444640462e-06	False
NODE9	NA	NA	3.6855800000000014e-05	black	0.0010345896094932493	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.857926966253387e-09	0.6529985376610135	3.2860146648785225e-05	1944-08-17	1944.6267183130205	[1883.5139233947127, 1961.0]	[137.48607660528728, 60.0]	6788.496633482269	6983.367195472096	9.5	1944.6267183130205	3.458960949324927e-05	False
