sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	library_layout	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	population_color	population	geometry	root_rtt_dist	population_rtt_dist	node_type	branch_length	branch_support	branch_support_conf_char	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_continent	mugration_host_order	mugration_population	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_continent_confidence	mugration_host_order_confidence	mugration_population_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	branch_length_sub	branch_length_time	rate_sub	rate_sub_year	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain	root_geo_dist	population_geo_dist
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1.0	North America	1992.0	29.0	0.0	38.7251776	-105.607716	Human	NA	NA	Human	Human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.99e-06	#ff0000	1.ORI	POINT (-105.607716 38.7251776)	7.15499e-05	5.9146e-06	terminal	3.99e-06	0.0		LOW	-29	NA	NA	United States of America	Colorado	North America	Human	1.ORI	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39.7837304	-100.4458825	38.7251776	-105.607716	16.93683978	223.617	1.7843008358040756e-08	0.07574039442439529	1992.0	1992.0	7.15499e-05	274.0	7.15499e-05	5517.012100000001	274.0	1992.0	0.0	0.0	United States of America (1992) CO92	United States of America (1992) CO92	11486.93417025	11299.49245753
GCA_009909635.1_ASM990963v1_genomic	9_10	1923.0	-98	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Medievalis	2.MED	2.MED1	SAMN13632815	KEEP: Assembly Modern	2.0	Europe	1923.0	98.0	0.0	47.6222451	40.7957942	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	NA	1.854	216.0	121.0	51.0	2.37255	1.0	0.0196078	242.0	216.0	26.0	0.107438	2.1123e-06	#c5e88a	2.MED	POINT (40.7957942 47.6222451)	7.205810000000001e-05	8.4492e-06	terminal	2.1123e-06	0.0		LOW	-98	NA	NA	Russia	Rostov Oblast	Europe	Human	2.MED	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	47.6222451	40.7957942	8.9663375106	223.309	9.459090318795929e-09	0.04015215468521197	1923.0	1923.0	7.205810000000001e-05	426.0	7.205810000000001e-05	5448.012300000001	426.0	1923.0	0.0	0.0	Russia (1923.0) 9_10	Russia (1923.0) 9_10	3257.92765865	3336.85563555
GCA_009669545.1_ASM966954v1_genomic	42126	2006.0	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722925	KEEP: Assembly Modern	0.0	Asia	2006.0	15.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	1.935	246.0	134.0	60.0	2.23333	0.0	0.0	271.0	246.0	25.0	0.0922509	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05	terminal	0.0	0.0		LOW	-15	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.0	18.0	0.0	0.0	2006.0	2006.0	5.4154099999999984e-05	117.0	5.4154099999999984e-05	5531.012952000001	117.0	2006.0	0.0	0.0	China (2006.0) 42126	China (2006.0) 42126	823.02714885	0.0
GCA_009669555.1_ASM966955v1_genomic	42123	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722924	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	NA	2.119	241.0	133.0	58.0	2.2931	0.0	0.0	258.0	241.0	17.0	0.06589149999999999	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.448279999999997e-05	1.2266600000000007e-05	terminal	2.347e-07	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.9962597234	36.5571	6.420093497569556e-09	0.027252154120540197	2005.0	2005.0	5.448279999999997e-05	124.0	5.448279999999997e-05	5530.013010000001	124.0	2005.0	0.0	0.0	China (2005.0) 42123	China (2005.0) 42123	823.02714885	0.0
GCA_009669565.1_ASM966956v1_genomic	42118	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722923	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.0	247.0	135.0	60.0	2.25	0.0	0.0	265.0	247.0	18.0	0.0679245	4.6939999999999995e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.462349999999998e-05	1.2407300000000004e-05	terminal	4.694e-07	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	1.9925194468	46.2942	1.0139499116519997e-08	0.04304036891878465	2005.0	2005.0	5.462349999999998e-05	119.0	5.462349999999998e-05	5530.013000000001	119.0	2005.0	0.0	0.0	China (2005.0) 42118	China (2005.0) 42118	823.02714885	0.0
GCA_009669605.1_ASM966960v1_genomic	42117	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722922	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	NA	2.012	239.0	132.0	58.0	2.27586	0.0	0.0	260.0	239.0	21.0	0.0807692	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.445929999999998e-05	1.2243100000000005e-05	terminal	2.347e-07	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.9962597234	46.2942	5.069749558259999e-09	0.021520184459392324	2005.0	2005.0	5.4459299999999975e-05	123.0	5.4459299999999975e-05	5530.013000000001	123.0	2005.0	0.0	0.0	China (2005.0) 42117	China (2005.0) 42117	823.02714885	0.0
GCA_009669625.1_ASM966962v1_genomic	42116	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722921	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	1.884	240.0	131.0	60.0	2.18333	0.0	0.0	269.0	240.0	29.0	0.107807	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.464699999999998e-05	1.2430800000000005e-05	terminal	2.35e-08	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	10.0	2.35e-09	0.0099753317	2005.0	2005.0	5.464699999999998e-05	89.0	5.464699999999998e-05	5530.01307	89.0	2005.0	0.0	0.0	China (2005.0) 42116	China (2005.0) 42116	823.02714885	0.0
GCA_009669675.1_ASM966967v1_genomic	42114	2004.0	-17	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722920	KEEP: Assembly Modern	0.0	Asia	2004.0	17.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.071	238.0	132.0	59.0	2.23729	0.0	0.0	256.0	238.0	18.0	0.0703125	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4905199999999984e-05	1.2689000000000005e-05	terminal	2.35e-08	0.0		LOW	-17	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	3.77378	6.2271780548945615e-09	0.026433262405333644	2004.0	2004.0	5.490519999999998e-05	93.0	5.490519999999998e-05	5529.013100000001	93.0	2004.0	0.0	0.0	China (2004.0) 42114	China (2004.0) 42114	823.02714885	0.0
GCA_009669635.1_ASM966963v1_genomic	42113	2003.0	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722919	KEEP: Assembly Modern	0.0	Asia	2003.0	18.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.046	241.0	133.0	60.0	2.21667	0.0	0.0	254.0	241.0	13.0	0.0511811	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5092899999999975e-05	1.2876700000000005e-05	terminal	2.347e-07	0.0		LOW	-18	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.9962597234	5.2522	4.4686036327634136e-08	0.1896842700963406	2003.0	2003.0	5.509289999999998e-05	92.0	5.509289999999998e-05	5528.0131	92.0	2003.0	0.0	0.0	China (2003.0) 42113	China (2003.0) 42113	823.02714885	0.0
GCA_009669665.1_ASM966966v1_genomic	42110	2002.0	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722918	KEEP: Assembly Modern	0.0	Asia	2002.0	19.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.08	241.0	131.0	56.0	2.33929	4.0	0.07142860000000001	262.0	241.0	21.0	0.0801527	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.443609999999995e-05	1.2219900000000012e-05	terminal	2.35e-08	0.0		LOW	-19	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	31.3653	7.492356202555053e-10	0.0031803718440442143	2002.0	2002.0	5.443609999999995e-05	134.0	5.443609999999995e-05	5527.012960000001	134.0	2002.0	0.0	0.0	China (2002.0) 42110	China (2002.0) 42110	823.02714885	0.0
