Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number
NODE0	100.0	NA	0.0	black	0.0	27.794214484631084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000323665.1_ASM32366v1_genomic	NA	NA	2.34e-07	grey	2.34e-07	1.0	945	1994	-27	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN02403017	KEEP: Assembly Modern Cui 2013 Keller 2019	0
NODE1	100.0	100.0	2.1807e-06	red	2.1807e-06	2.9375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000324345.1_ASM32434v1_genomic	NA	NA	2.34e-08	grey	2.2041e-06	2.0	CMCC8211	1982	-39	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN02403052	KEEP: Assembly Modern Cui 2013 Keller 2019	0
NODE2	21.0	0.0	2.34e-08	black	2.2041e-06	3.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000323185.1_ASM32318v1_genomic	NA	NA	2.34e-08	grey	2.2275000000000003e-06	3.0	164	1985	-36	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN02402992	KEEP: Assembly Modern Cui 2013 Keller 2019	0
NODE3	16.0	0.0	2.34e-08	black	2.2275000000000003e-06	4.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000323425.1_ASM32342v1_genomic	NA	NA	2.34e-08	grey	2.2509000000000003e-06	4.0	42095	2001	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN02403005	KEEP: Assembly Modern Cui 2013 Keller 2019	0
NODE4	14.0	0.0	2.34e-08	black	2.2509000000000003e-06	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000324185.1_ASM32418v1_genomic	NA	NA	2.34e-08	grey	2.2743000000000004e-06	5.0	CMCC42007	1967	-54	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN02403044	KEEP: Assembly Modern Cui 2013 Keller 2019	0
GCA_000324205.1_ASM32420v1_genomic	NA	NA	2.34e-08	grey	2.2743000000000004e-06	6.0	CMCC43032	1980	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN02403045	KEEP: Assembly Modern Cui 2013 Keller 2019	0
NODE5	100.0	99.8	6.5886e-06	red	6.5886e-06	54.58842896926217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE6	100.0	100.0	2.8921e-06	red	9.480699999999999e-06	9.322074889671057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000324225.1_ASM32422v1_genomic	NA	NA	2.34e-08	grey	9.5041e-06	7.0	CMCC49003	1976	-45	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN02403046	KEEP: Assembly Modern Cui 2013 Keller 2019	0
NODE7	69.0	99.6	3.1444e-06	black	1.2625099999999999e-05	11.644149779342115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_009670475.1_ASM967047v1_genomic	NA	NA	2.34e-07	grey	1.2859099999999999e-05	8.0	42043	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722871	KEEP: Assembly Modern	0
NODE8	39.0	6.2	2.34e-08	black	1.26485e-05	15.28829955868423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE9	100.0	100.0	2.34e-07	red	1.2882499999999999e-05	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_009670245.1_ASM967024v1_genomic	NA	NA	2.34e-08	grey	1.29059e-05	9.0	42061	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722888	KEEP: Assembly Modern	0
GCA_009670445.1_ASM967044v1_genomic	NA	NA	2.34e-08	grey	1.29059e-05	10.0	42046	1984	-37	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722874	KEEP: Assembly Modern	0
NODE10	80.0	0.0	2.34e-08	black	1.26719e-05	21.07659911736846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_009670935.1_ASM967093v1_genomic	NA	NA	2.34e-08	grey	1.26953e-05	11.0	42005	1967	-54	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722849	KEEP: Assembly Modern	0
NODE11	98.0	0.0	2.34e-08	black	1.26953e-05	31.15319823473692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE12	100.0	99.5	2.34e-07	red	1.29293e-05	18.519287109375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE13	37.0	0.0	2.34e-08	black	1.29527e-05	13.0390625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_009669775.1_ASM966977v1_genomic	NA	NA	2.34e-08	grey	1.2976100000000001e-05	12.0	42094	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722914	KEEP: Assembly Modern	0
NODE14	59.0	0.0	2.34e-08	black	1.2976100000000001e-05	14.078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
