sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	branch_support_char	node_type	branch_length	branch_support	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_branch_major	mugration_branch_minor	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_branch_major_confidence	mugration_branch_minor_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	geometry	geometry_size	branch_length_sub	branch_length_time	sub_rate	geo_rate_sub	geo_rate_time	rate_sub	rate_geo_sub	rate_geo_time	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	branch_major_color	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain	root_rtt_dist	clade_rtt_dist
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1.0	North America	1992.0	29.0	0.0	38.7251776	-105.607716		terminal	3.7746e-06	100.0	HIGH	-29	NA	NA	United States of America	Colorado	1.ORI	1.ORI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39.7837304	-100.4458825	38.7251776	-105.607716	POINT (-105.607716 38.7251776)	1.0	15.9420457476	182.741	NA	NA	NA	0.08723847274339092	45.82006986697771	3.9972729161906027	1992.0	1992.0	6.638419999999997e-05	117.0	6.638419999999997e-05	#ff0000	5099.0813	117.0	1992.0	0.0	0.0	United States of America (1992) CO92	United States of America (1992) CO92	6.638419999999997e-05	5.753899999999999e-06
GCA_009909635.1_ASM990963v1_genomic	9_10	1923.0	-98	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Medievalis	2.MED	2.MED1	SAMN13632815	KEEP: Assembly Modern	2.0	Europe	1923.0	98.0	0.0	47.6222451	40.7957942		terminal	1.817e-06	100.0	HIGH	-98	NA	NA	Russia	Rostov Oblast	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	47.6222451	40.7957942	POINT (40.7957942 47.6222451)	3.0	7.674110401999999	504.146	NA	NA	NA	0.015221999980164474	0.0	0.0	1923.0	1923.0	6.775179999999998e-05	167.0	6.775179999999998e-05	#b3f396	5030.08082	167.0	1923.0	0.0	0.0	Russia (1923.0) 9_10	Russia (1923.0) 9_10	6.775179999999998e-05	9.4529e-06
GCA_009669545.1_ASM966954v1_genomic	42126	2006.0	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722925	KEEP: Assembly Modern	0.0	Asia	2006.0	15.0	0.0	42.4804953	85.4633464		terminal	2.36e-08	100.0	HIGH	-15	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	8.0	0.09967474159999999	99.4789	NA	NA	NA	0.0010019686747641961	0.0	0.0	2006.0	2006.0	5.0016900000000006e-05	35.0	5.0016900000000006e-05	#1996f3	5113.0809	35.0	2006.0	0.0	0.0	China (2006.0) 42126	China (2006.0) 42126	5.0016900000000006e-05	1.1111699999999999e-05
GCA_009669805.1_ASM966980v1_genomic	42092	1980.0	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722912	KEEP: Assembly Modern	0.0	Asia	1980.0	41.0	0.0	42.4804953	85.4633464		terminal	2.36e-08	100.0	HIGH	-41	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	8.0	0.09967474159999999	73.4789	NA	NA	NA	0.0013565083527379968	0.0	0.0	1980.0	1980.0	5.0016900000000006e-05	36.0	5.0016900000000006e-05	#1996f3	5087.0809	36.0	1980.0	0.0	0.0	China (1980.0) 42092	China (1980.0) 42092	5.0016900000000006e-05	1.1111699999999999e-05
GCA_009296005.1_ASM929600v1_genomic	C-25	1953.0	-68	Russia	Chechnya	64.6863136	97.7453061	43.39761470000001	45.6985005	Medievalis	2.MED	2.MED1	SAMN12991209	KEEP: Assembly Modern	2.0	Europe	1953.0	68.0	0.0	43.39761470000001	45.6985005		terminal	2.359e-07	100.0	HIGH	-68	NA	NA	Russia	Chechnya	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	43.39761470000001	45.6985005	POINT (45.6985005 43.39761470000001)	2.0	0.9963250654	186.419	NA	NA	NA	0.005344546775811478	0.0	0.0	1953.0	1953.0	6.586039999999998e-05	180.0	6.586039999999998e-05	#b3f396	5060.081319999999	180.0	1953.0	0.0	0.0	Russia (1953.0) C-25	Russia (1953.0) C-25	6.586039999999998e-05	7.5614999999999995e-06
GCA_009295945.1_ASM929594v1_genomic	I-3113	1984.0	-37	Russia	Tuva Republic	64.6863136	97.7453061	51.4017149	93.8582593	Antiqua	4.ANT	4.ANT1	SAMN12991206	KEEP: Assembly Modern	4.0	Europe	1984.0	37.0	0.0	51.4017149	93.8582593		terminal	2.5951e-06	100.0	HIGH	-37	NA	NA	Russia	Tuva Republic	4.ANT	4.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	51.4017149	93.8582593	POINT (93.8582593 51.4017149)	2.0	10.9604204206	329.319	NA	NA	NA	0.03328207731895214	0.0	0.0	1984.0	1984.0	5.42884e-05	119.0	5.42884e-05	#4df3ce	5091.0812	119.0	1984.0	0.0	0.0	Russia (1984.0) I-3113	Russia (1984.0) I-3113	5.42884e-05	5.4261000000000004e-06
GCA_008630455.1_ASM863045v1_genomic	C-826	2011.0	-10	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN12721149	KEEP: Assembly Modern	0.0	Europe	2011.0	10.0	0.0	43.0883099	47.14988017944229		terminal	9.437e-07	100.0	HIGH	-10	NA	NA	Russia	Republic of Dagestan	0.PE	0.PE2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)	3.0	3.9857226122	71.9823	NA	NA	NA	0.05537087050844444	0.0	0.0	2011.0	2011.0	7.107100000000001e-05	11.0	7.107100000000001e-05	#4c4ffc	5118.0803	11.0	2011.0	0.0	0.0	Russia (2011.0) C-826	Russia (2011.0) C-826	7.107100000000001e-05	6.90544e-05
GCA_008630435.1_ASM863043v1_genomic	C-719	1996.0	-25	Russia	Karachay-Cherkessia	64.6863136	97.7453061	43.7368326	41.7267991	Medievalis	2.MED	2.MED0	SAMN12721146	KEEP: Assembly Modern Placement	2.0	Europe	1996.0	25.0	0.0	43.7368326	41.7267991		terminal	1.45404e-05	100.0	HIGH	-25	NA	NA	Russia	Karachay-Cherkessia	2.MED	2.MED0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	43.7368326	41.7267991	POINT (41.7267991 43.7368326)	2.0	61.4114666424	436.296	NA	NA	NA	0.1407564283018868	0.0	0.0	1996.0	1996.0	8.19164e-05	146.0	8.19164e-05	#b3f396	5103.0819	146.0	1996.0	0.0	0.0	Russia (1996.0) C-719	Russia (1996.0) C-719	8.19164e-05	2.3617500000000002e-05
GCA_008630575.1_ASM863057v1_genomic	C-527	1984.0	-37	Azerbaijan	Qazakh District	40.3936294	47.7872508	41.17390635	45.25441108731086	Medievalis	2.MED	2.MED1	SAMN12714845	KEEP: Assembly Modern	2.0	Asia	1984.0	37.0	0.0	41.17390635	45.25441108731086		terminal	2.36e-08	100.0	HIGH	-37	NA	NA	Azerbaijan	Qazakh District	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	40.3936294	47.7872508	41.17390635	45.25441108731086	POINT (45.25441108731086 41.17390635)	1.0	0.09967474159999999	20.7435	NA	NA	NA	0.004805107219128883	5642.233738637656	27.111538069540348	1984.0	1984.0	6.737019999999997e-05	192.0	6.737019999999997e-05	#b3f396	5091.081119999998	192.0	1984.0	0.0	0.0	Azerbaijan (1984.0) C-527	Azerbaijan (1984.0) C-527	6.737019999999997e-05	9.071299999999996e-06
GCA_006546725.1_ASM654672v1_genomic	I-3196	1986.0	-35	Mongolia	Govi-Altai	46.8250388	103.8499736	45.3463139	95.9325806	Ulegeica	0.PE	0.PE5	SAMN12138635	KEEP: Assembly Modern	0.0	Asia	1986.0	35.0	0.0	45.3463139	95.9325806		terminal	1.8873e-06	100.0	HIGH	-35	NA	NA	Mongolia	Govi-Altai	0.PE	0.PE5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	46.8250388	103.8499736	45.3463139	95.9325806	POINT (95.93258059999999 45.3463139)	2.0	7.9710228738	226.752	NA	NA	NA	0.035153043297523286	0.0	0.0	1986.0	1986.0	5.82975e-05	32.0	5.82975e-05	#4c4ffc	5093.082	32.0	1986.0	0.0	0.0	Mongolia (1986.0) I-3196	Mongolia (1986.0) I-3196	5.82975e-05	5.62809e-05
