sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	branch_support_char	node_type	branch_length	branch_support	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_branch_major	mugration_branch_minor	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_branch_major_confidence	mugration_branch_minor_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	geometry	geometry_size	branch_length_sub	branch_length_time	sub_rate	geo_rate_sub	geo_rate_time	rate_sub	rate_sub_year	rate_geo_sub	rate_geo_time	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	branch_major_color	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain	root_rtt_dist	clade_rtt_dist
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1.0	North America	1992.0	29.0	0.0	38.7251776	-105.607716	Human		terminal	4.0046e-06	100.0	HIGH	-29	NA	NA	United States of America	Colorado	1.ORI	1.ORI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39.7837304	-100.4458825	38.7251776	-105.607716	POINT (-105.607716 38.7251776)	1.0	16.9358458508	162.52	NA	NA	NA	2.464065961112478e-08	0.1042077642800886	27.351460026278353	2.85023449913468	1992.0	1992.0	7.316859999999999e-05	509.0	7.316859999999999e-05	#ff0000	5248.916030000001	509.0	1992.0	0.0	0.0	United States of America (1992) CO92	United States of America (1992) CO92	7.316859999999999e-05	6.3815e-06
GCA_009909635.1_ASM990963v1_genomic	9_10	1923.0	-98	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Medievalis	2.MED	2.MED1	SAMN13632815	KEEP: Assembly Modern	2.0	Europe	1923.0	98.0	0.0	47.6222451	40.7957942	Human		terminal	2.1201e-06	100.0	HIGH	-98	NA	NA	Russia	Rostov Oblast	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	47.6222451	40.7957942	POINT (40.7957942 47.6222451)	4.0	8.966110669799999	878.846	NA	NA	NA	2.412368037176024e-09	0.010202140841285047	80.9026026243583	0.8253797464002207	1923.0	1923.0	7.305009999999997e-05	339.0	7.305009999999997e-05	#b3f396	5179.916336	339.0	1923.0	0.0	0.0	Russia (1923.0) 9_10	Russia (1923.0) 9_10	7.305009999999997e-05	9.658199999999998e-06
GCA_009669545.1_ASM966954v1_genomic	42126	2006.0	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722925	KEEP: Assembly Modern	0.0	Asia	2006.0	15.0	0.0	42.4804953	85.4633464	Non-Human		terminal	0.0	100.0	HIGH	-15	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0	9.23246	NA	NA	NA	0.0	0.0	0.0	0.0	2006.0	2006.0	5.4184699999999976e-05	152.0	5.4184699999999976e-05	#1996f3	5262.9170890000005	152.0	2006.0	0.0	0.0	China (2006.0) 42126	China (2006.0) 42126	5.4184699999999976e-05	1.1556599999999992e-05
GCA_009669555.1_ASM966955v1_genomic	42123	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722924	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.356e-07	100.0	HIGH	-16	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.9963754887999999	24.3832	NA	NA	NA	9.662390498375931e-09	0.04086319633190065	0.0	0.0	2005.0	2005.0	5.470349999999995e-05	171.0	5.470349999999995e-05	#1996f3	5261.917189000001	171.0	2005.0	0.0	0.0	China (2005.0) 42123	China (2005.0) 42123	5.470349999999995e-05	1.2075399999999983e-05
GCA_009669565.1_ASM966956v1_genomic	42118	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722923	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human		terminal	4.711e-07	100.0	HIGH	-16	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	1.9923280678	35.9004	NA	NA	NA	1.3122416463326314e-08	0.05549598522022039	0.0	0.0	2005.0	2005.0	5.493899999999995e-05	173.0	5.493899999999995e-05	#1996f3	5261.917189000001	173.0	2005.0	0.0	0.0	China (2005.0) 42118	China (2005.0) 42118	5.493899999999995e-05	1.2310899999999982e-05
GCA_009669605.1_ASM966960v1_genomic	42117	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722922	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.356e-07	100.0	HIGH	-16	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.9963754887999999	35.9004	NA	NA	NA	6.562600973805306e-09	0.02775388265311807	0.0	0.0	2005.0	2005.0	5.460909999999996e-05	165.0	5.460909999999996e-05	#1996f3	5261.917189000001	165.0	2005.0	0.0	0.0	China (2005.0) 42117	China (2005.0) 42117	5.460909999999996e-05	1.1980999999999986e-05
GCA_009669625.1_ASM966962v1_genomic	42116	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722921	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-16	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	10.0	NA	NA	NA	2.36e-09	0.00998067128	0.0	0.0	2005.0	2005.0	5.475019999999997e-05	124.0	5.475019999999997e-05	#1996f3	5261.9172899999985	124.0	2005.0	0.0	0.0	China (2005.0) 42116	China (2005.0) 42116	5.475019999999997e-05	1.2122099999999989e-05
GCA_009669675.1_ASM966967v1_genomic	42114	2004.0	-17	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722920	KEEP: Assembly Modern	0.0	Asia	2004.0	17.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-17	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	3.69863	NA	NA	NA	6.380740977064481e-09	0.02698477890462144	0.0	0.0	2004.0	2004.0	5.498569999999997e-05	127.0	5.498569999999997e-05	#1996f3	5260.917279999999	127.0	2004.0	0.0	0.0	China (2004.0) 42114	China (2004.0) 42114	5.498569999999997e-05	1.2357599999999988e-05
GCA_009669635.1_ASM966963v1_genomic	42113	2003.0	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722919	KEEP: Assembly Modern	0.0	Asia	2003.0	18.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.356e-07	100.0	HIGH	-18	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.9963754887999999	5.41853	NA	NA	NA	4.348042734837677e-08	0.18388298833816552	0.0	0.0	2003.0	2003.0	5.517409999999998e-05	126.0	5.517409999999998e-05	#1996f3	5259.917279999999	126.0	2003.0	0.0	0.0	China (2003.0) 42113	China (2003.0) 42113	5.517409999999998e-05	1.254599999999999e-05
GCA_009669665.1_ASM966966v1_genomic	42110	2002.0	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722918	KEEP: Assembly Modern	0.0	Asia	2002.0	19.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-19	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	32.9004	NA	NA	NA	7.17316506790191e-10	0.0030336018042333834	0.0	0.0	2002.0	2002.0	5.4302699999999964e-05	160.0	5.4302699999999964e-05	#1996f3	5258.917189000001	160.0	2002.0	0.0	0.0	China (2002.0) 42110	China (2002.0) 42110	5.4302699999999964e-05	1.1674599999999988e-05
