sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	population_color	population	geometry	root_rtt_dist	clade_rtt_dist	population_rtt_dist	node_type	branch_length	branch_support	branch_support_conf_char	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_continent	mugration_host_order	mugration_population	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_continent_confidence	mugration_host_order_confidence	mugration_population_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	branch_length_sub	branch_length_time	rate_sub	rate_sub_year	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1.0	North America	1992.0	29.0	0.0	38.7251776	-105.607716	Human	NA	NA	Human	Human	#ff0000	1.ORI	POINT (-105.607716 38.7251776)	7.316859999999999e-05	NA	6.3815e-06	terminal	4.0046e-06	0.0		LOW	-29	NA	NA	United States of America	Colorado	North America	Human	1.ORI	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	39.7837304	-100.4458825	38.7251776	-105.607716	16.9358458508	162.528	2.4639446741484545e-08	0.1042026349355188	1992.0	1992.0	7.316859999999999e-05	509.0	7.316859999999999e-05	5249.00608	509.0	1992.0	0.0	0.0	United States of America (1992) CO92	United States of America (1992) CO92
GCA_009909635.1_ASM990963v1_genomic	9_10	1923.0	-98	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Medievalis	2.MED	2.MED1	SAMN13632815	KEEP: Assembly Modern	2.0	Europe	1923.0	98.0	0.0	47.6222451	40.7957942	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	#c5e88a	2.MED	POINT (40.7957942 47.6222451)	7.305009999999998e-05	NA	9.658199999999997e-06	terminal	2.1201e-06	0.0		LOW	-98	NA	NA	Russia	Rostov Oblast	Europe	Human	2.MED	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	64.6863136	97.7453061	47.6222451	40.7957942	8.966110669799999	878.892	2.4122417771466798e-09	0.010201606875247468	1923.0	1923.0	7.305009999999997e-05	339.0	7.305009999999997e-05	5180.006106	339.0	1923.0	0.0	0.0	Russia (1923.0) 9_10	Russia (1923.0) 9_10
GCA_009669545.1_ASM966954v1_genomic	42126	2006.0	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722925	KEEP: Assembly Modern	0.0	Asia	2006.0	15.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.418469999999998e-05	NA	1.1556599999999992e-05	terminal	0.0	0.0		LOW	-15	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0	9.23246	0.0	0.0	2006.0	2006.0	5.4184699999999976e-05	152.0	5.4184699999999976e-05	5263.005722000001	152.0	2006.0	0.0	0.0	China (2006.0) 42126	China (2006.0) 42126
GCA_009669555.1_ASM966955v1_genomic	42123	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722924	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.470349999999995e-05	NA	1.2075399999999984e-05	terminal	2.356e-07	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.9963754887999999	24.384	9.662073490813647e-09	0.040861855675853015	2005.0	2005.0	5.470349999999995e-05	171.0	5.470349999999995e-05	5262.005752000001	171.0	2005.0	0.0	0.0	China (2005.0) 42123	China (2005.0) 42123
GCA_009669565.1_ASM966956v1_genomic	42118	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722923	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.493899999999995e-05	NA	1.2310899999999982e-05	terminal	4.711e-07	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	1.9923280678	35.9013	1.3122087501009713e-08	0.055494594006345176	2005.0	2005.0	5.493899999999995e-05	173.0	5.493899999999995e-05	5262.005752000001	173.0	2005.0	0.0	0.0	China (2005.0) 42118	China (2005.0) 42118
GCA_009669605.1_ASM966960v1_genomic	42117	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722922	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.460909999999996e-05	NA	1.1980999999999984e-05	terminal	2.356e-07	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.9963754887999999	35.9013	6.562436457732728e-09	0.027753186898524566	2005.0	2005.0	5.460909999999996e-05	165.0	5.460909999999996e-05	5262.005752000001	165.0	2005.0	0.0	0.0	China (2005.0) 42117	China (2005.0) 42117
GCA_009669625.1_ASM966962v1_genomic	42116	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722921	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.475019999999997e-05	NA	1.2122099999999989e-05	terminal	2.36e-08	0.0		LOW	-16	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	10.0	2.36e-09	0.00998067128	2005.0	2005.0	5.475019999999997e-05	124.0	5.475019999999997e-05	5262.00579	124.0	2005.0	0.0	0.0	China (2005.0) 42116	China (2005.0) 42116
GCA_009669675.1_ASM966967v1_genomic	42114	2004.0	-17	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722920	KEEP: Assembly Modern	0.0	Asia	2004.0	17.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.498569999999998e-05	NA	1.2357599999999988e-05	terminal	2.36e-08	0.0		LOW	-17	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	3.69868	6.380654720062292e-09	0.026984414115306003	2004.0	2004.0	5.498569999999997e-05	127.0	5.498569999999997e-05	5261.00578	127.0	2004.0	0.0	0.0	China (2004.0) 42114	China (2004.0) 42114
GCA_009669635.1_ASM966963v1_genomic	42113	2003.0	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722919	KEEP: Assembly Modern	0.0	Asia	2003.0	18.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.517409999999998e-05	NA	1.254599999999999e-05	terminal	2.356e-07	0.0		LOW	-18	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.9963754887999999	5.41861	4.347978540622041e-08	0.1838802735018759	2003.0	2003.0	5.517409999999998e-05	126.0	5.517409999999998e-05	5260.00579	126.0	2003.0	0.0	0.0	China (2003.0) 42113	China (2003.0) 42113
GCA_009669665.1_ASM966966v1_genomic	42110	2002.0	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722918	KEEP: Assembly Modern	0.0	Asia	2002.0	19.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.430269999999997e-05	NA	1.1674599999999988e-05	terminal	2.36e-08	0.0		LOW	-19	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	32.9013	7.172968849255197e-10	0.0030335188214447454	2002.0	2002.0	5.4302699999999964e-05	160.0	5.4302699999999964e-05	5259.005752000001	160.0	2002.0	0.0	0.0	China (2002.0) 42110	China (2002.0) 42110
