sample tstv cds_sites ns_sites ss_sites ns_ss_ratio homo_het_sites homo_sites het_sites het_ratio
GCA_009909635.1_ASM990963v1_genomic 1.854 216 121 51 2.37255 242 216 26 0.107438
GCA_009669545.1_ASM966954v1_genomic 1.935 246 134 60 2.23333 271 246 25 0.0922509
GCA_009669555.1_ASM966955v1_genomic 2.119 241 133 58 2.2931 258 241 17 0.0658915
GCA_009669565.1_ASM966956v1_genomic 2.000 247 135 60 2.25 265 247 18 0.0679245
GCA_009669605.1_ASM966960v1_genomic 2.012 239 132 58 2.27586 260 239 21 0.0807692
GCA_009669625.1_ASM966962v1_genomic 1.884 240 131 60 2.18333 269 240 29 0.107807
GCA_009669675.1_ASM966967v1_genomic 2.071 238 132 59 2.23729 256 238 18 0.0703125
GCA_009669635.1_ASM966963v1_genomic 2.046 241 133 60 2.21667 254 241 13 0.0511811
GCA_009669665.1_ASM966966v1_genomic 2.080 241 131 56 2.33929 262 241 21 0.0801527
GCA_009669725.1_ASM966972v1_genomic 2.000 247 136 60 2.26667 266 247 19 0.0714286
GCA_009669715.1_ASM966971v1_genomic 2.045 244 138 59 2.33898 261 244 17 0.0651341
GCA_009669705.1_ASM966970v1_genomic 2.131 242 131 64 2.04688 269 242 27 0.100372
GCA_009669775.1_ASM966977v1_genomic 2.035 237 132 59 2.23729 259 237 22 0.0849421
GCA_009669765.1_ASM966976v1_genomic 1.966 236 134 57 2.35088 256 236 20 0.078125
GCA_009669805.1_ASM966980v1_genomic 2.058 244 135 61 2.21311 275 244 31 0.112727
GCA_009669825.1_ASM966982v1_genomic 2.022 243 133 62 2.14516 255 243 12 0.0470588
GCA_009669835.1_ASM966983v1_genomic 2.034 241 135 59 2.28814 259 241 18 0.0694981
GCA_009669845.1_ASM966984v1_genomic 2.080 244 134 60 2.23333 263 244 19 0.0722433
GCA_009669875.1_ASM966987v1_genomic 2.024 235 131 57 2.29825 255 235 20 0.0784314
GCA_009669905.1_ASM966990v1_genomic 1.989 246 137 60 2.28333 263 246 17 0.0646388
GCA_009669955.1_ASM966995v1_genomic 2.148 234 130 56 2.32143 251 234 17 0.0677291
GCA_009669925.1_ASM966992v1_genomic 2.035 239 134 58 2.31034 258 239 19 0.0736434
GCA_009669935.1_ASM966993v1_genomic 2.034 243 134 59 2.27119 260 243 17 0.0653846
GCA_009669975.1_ASM966997v1_genomic 2.061 231 129 56 2.30357 246 231 15 0.0609756
GCA_009670005.1_ASM967000v1_genomic 1.910 238 133 59 2.25424 264 238 26 0.0984848
GCA_009670045.1_ASM967004v1_genomic 2.047 239 132 60 2.2 264 239 25 0.094697
GCA_009670015.1_ASM967001v1_genomic 2.023 239 132 61 2.16393 258 239 19 0.0736434
GCA_009670055.1_ASM967005v1_genomic 1.956 245 134 63 2.12698 278 245 33 0.118705
GCA_009670075.1_ASM967007v1_genomic 1.989 241 132 60 2.2 261 241 20 0.0766284
GCA_009670115.1_ASM967011v1_genomic 1.989 250 138 61 2.2623 267 250 17 0.0636704
GCA_009667895.1_ASM966789v1_genomic 2.023 240 130 57 2.2807 263 240 23 0.0874525
GCA_009670135.1_ASM967013v1_genomic 2.111 235 130 56 2.32143 251 235 16 0.063745
GCA_009670155.1_ASM967015v1_genomic 2.035 239 130 61 2.13115 255 239 16 0.0627451
GCA_009670105.1_ASM967010v1_genomic 2.000 240 134 59 2.27119 260 240 20 0.0769231
GCA_009670185.1_ASM967018v1_genomic 1.955 240 135 57 2.36842 268 240 28 0.104478
GCA_009670205.1_ASM967020v1_genomic 1.924 246 134 61 2.19672 278 246 32 0.115108
GCA_009670225.1_ASM967022v1_genomic 2.092 245 134 59 2.27119 261 245 16 0.0613027
GCA_009670235.1_ASM967023v1_genomic 2.045 244 133 60 2.21667 260 244 16 0.0615385
GCA_009670245.1_ASM967024v1_genomic 2.056 243 136 57 2.38596 260 243 17 0.0653846
GCA_009667925.1_ASM966792v1_genomic 2.023 238 133 58 2.2931 267 238 29 0.108614
GCA_009670285.1_ASM967028v1_genomic 1.881 250 136 59 2.30508 272 250 22 0.0808824
GCA_009670305.1_ASM967030v1_genomic 1.989 245 136 59 2.30508 262 245 17 0.0648855
GCA_009670345.1_ASM967034v1_genomic 1.968 247 133 61 2.18033 264 247 17 0.0643939
GCA_009667935.1_ASM966793v1_genomic 1.956 244 135 60 2.25 274 244 30 0.109489
GCA_009670355.1_ASM967035v1_genomic 2.047 235 134 58 2.31034 258 235 23 0.0891473
GCA_009670325.1_ASM967032v1_genomic 1.988 236 131 60 2.18333 261 236 25 0.0957854
GCA_009667885.1_ASM966788v1_genomic 1.957 249 141 60 2.35 269 249 20 0.0743494
GCA_009670385.1_ASM967038v1_genomic 2.081 240 131 60 2.18333 259 240 19 0.0733591
GCA_009667945.1_ASM966794v1_genomic 2.044 247 134 61 2.19672 263 247 16 0.0608365
GCA_009670415.1_ASM967041v1_genomic 1.896 250 136 60 2.26667 270 250 20 0.0740741
GCA_009667985.1_ASM966798v1_genomic 1.948 250 137 59 2.32203 266 250 16 0.0601504
GCA_009670395.1_ASM967039v1_genomic 1.827 246 134 61 2.19672 262 246 16 0.0610687
GCA_009670445.1_ASM967044v1_genomic 2.000 246 137 60 2.28333 273 246 27 0.0989011
GCA_009670465.1_ASM967046v1_genomic 1.854 250 136 63 2.15873 270 250 20 0.0740741
GCA_009670485.1_ASM967048v1_genomic 2.000 249 135 61 2.21311 273 249 24 0.0879121
GCA_009670475.1_ASM967047v1_genomic 2.094 241 132 57 2.31579 275 241 34 0.123636
GCA_009670515.1_ASM967051v1_genomic 2.079 249 138 62 2.22581 273 249 24 0.0879121
GCA_009670545.1_ASM967054v1_genomic 1.946 245 132 59 2.23729 270 245 25 0.0925926
GCA_009670565.1_ASM967056v1_genomic 1.862 244 131 59 2.22034 269 244 25 0.0929368
GCA_009670575.1_ASM967057v1_genomic 1.924 243 138 57 2.42105 264 243 21 0.0795455
GCA_009670625.1_ASM967062v1_genomic 2.095 238 131 58 2.25862 258 238 20 0.0775194
GCA_009670585.1_ASM967058v1_genomic 2.000 242 134 59 2.27119 259 242 17 0.0656371
GCA_009670605.1_ASM967060v1_genomic 2.011 243 135 60 2.25 266 243 23 0.0864662
GCA_009670665.1_ASM967066v1_genomic 2.122 235 127 60 2.11667 252 235 17 0.0674603
GCA_009670675.1_ASM967067v1_genomic 1.978 244 138 59 2.33898 266 244 22 0.0827068
GCA_009670725.1_ASM967072v1_genomic 1.933 238 132 59 2.23729 267 238 29 0.108614
GCA_009670705.1_ASM967070v1_genomic 1.966 238 131 60 2.18333 266 238 28 0.105263
GCA_009670715.1_ASM967071v1_genomic 2.037 228 126 58 2.17241 256 228 28 0.109375
GCA_009670775.1_ASM967077v1_genomic 2.000 235 133 56 2.375 259 235 24 0.0926641
GCA_009670765.1_ASM967076v1_genomic 2.071 238 133 58 2.2931 266 238 28 0.105263
GCA_009670785.1_ASM967078v1_genomic 2.058 239 131 58 2.25862 253 239 14 0.055336
GCA_009670835.1_ASM967083v1_genomic 2.072 233 131 56 2.33929 248 233 15 0.0604839
GCA_009670815.1_ASM967081v1_genomic 2.012 237 134 58 2.31034 263 237 26 0.0988593
GCA_009670865.1_ASM967086v1_genomic 2.081 241 133 60 2.21667 255 241 14 0.054902
GCA_009670875.1_ASM967087v1_genomic 2.000 236 133 58 2.2931 263 236 27 0.102662
GCA_009670895.1_ASM967089v1_genomic 1.989 242 136 60 2.26667 274 242 32 0.116788
GCA_009670905.1_ASM967090v1_genomic 2.024 232 131 56 2.33929 254 232 22 0.0866142
GCA_009670935.1_ASM967093v1_genomic 2.122 236 130 59 2.20339 251 236 15 0.059761
GCA_009670995.1_ASM967099v1_genomic 2.011 240 135 58 2.32759 264 240 24 0.0909091
GCA_009296005.1_ASM929600v1_genomic 1.739 218 116 49 2.36735 256 218 38 0.148438
GCA_009363195.1_ASM936319v1_genomic 1.578 180 87 40 2.175 220 180 40 0.181818
GCA_009295945.1_ASM929594v1_genomic 1.718 162 80 37 2.16216 185 162 23 0.124324
GCA_008630485.1_ASM863048v1_genomic 1.667 221 123 53 2.32075 226 221 5 0.0221239
GCA_008630455.1_ASM863045v1_genomic 1.784 584 319 134 2.3806 589 584 5 0.00848896
GCA_008630435.1_ASM863043v1_genomic 1.928 281 156 71 2.19718 299 281 18 0.0602007
GCA_008630415.1_ASM863041v1_genomic 1.717 580 320 133 2.40602 583 580 3 0.0051458
GCA_008630395.1_ASM863039v1_genomic 1.872 222 122 52 2.34615 233 222 11 0.0472103
GCA_008630575.1_ASM863057v1_genomic 1.625 219 120 55 2.18182 233 219 14 0.0600858
GCA_008630375.1_ASM863037v1_genomic 0.703 320 153 72 2.125 321 320 1 0.00311526
GCA_008630375.2_ASM863037v2_genomic 0.631 305 150 74 2.02703 305 305 0 0
GCA_006546745.1_ASM654674v1_genomic 1.580 396 201 96 2.09375 415 396 19 0.0457831
GCA_006546725.1_ASM654672v1_genomic 1.571 398 198 98 2.02041 402 398 4 0.00995025
GCA_006546665.1_ASM654666v1_genomic 1.616 404 201 100 2.01 427 404 23 0.0538642
GCA_006517425.1_ASM651742v1_genomic 1.534 404 198 106 1.86792 423 404 19 0.0449173
GCA_000834775.1_ASM83477v1_genomic 1.071 29 16 4 4 35 29 6 0.171429
GCA_000834335.1_ASM83433v1_genomic 1.000 29 15 5 3 31 29 2 0.0645161
GCA_000734805.1_ASM73480v1_genomic 1.911 147 80 35 2.28571 177 147 30 0.169492
GCA_000834275.1_ASM83427v1_genomic 4.227 427 237 102 2.32353 466 427 39 0.083691
GCA_000169615.1_ASM16961v1_genomic 3.102 226 115 52 2.21154 237 226 11 0.0464135
GCA_000169635.1_ASM16963v1_genomic 1.102 67 34 15 2.26667 89 67 22 0.247191
GCA_000169655.1_ASM16965v1_genomic 1.829 195 105 43 2.44186 216 195 21 0.0972222
GCA_000169675.1_ASM16967v1_genomic 2.367 149 82 32 2.5625 198 149 49 0.247475
GCA_000170275.1_ASM17027v1_genomic 1.400 68 33 18 1.83333 104 68 36 0.346154
GCA_000168235.2_ASM16823v2_genomic 1.379 62 31 11 2.81818 88 62 26 0.295455
GCA_000182525.1_ASM18252v1_genomic 1.625 76 42 18 2.33333 98 76 22 0.22449
GCA_000182505.1_ASM18250v1_genomic 1.320 48 27 11 2.45455 85 48 37 0.435294
GCA_000324785.1_ASM32478v1_genomic 1.759 76 43 20 2.15 76 76 0 0
GCA_006376585.1_ASM637658v1_genomic 1.812 579 319 131 2.43511 582 579 3 0.00515464
GCA_006376575.1_ASM637657v1_genomic 1.479 214 117 50 2.34 223 214 9 0.0403587
GCA_006376535.1_ASM637653v1_genomic 1.016 232 132 50 2.64 244 232 12 0.0491803
GCA_006376535.2_ASM637653v2_genomic 0.857 288 157 61 2.57377 302 288 14 0.0463576
GCA_006376545.1_ASM637654v1_genomic 1.523 638 358 135 2.65185 647 638 9 0.0139104
GCA_006376505.1_ASM637650v1_genomic 1.503 639 363 129 2.81395 641 639 2 0.00312012
GCA_006376495.1_ASM637649v1_genomic 1.719 218 123 45 2.73333 229 218 11 0.0480349
GCA_006376475.1_ASM637647v1_genomic 1.558 211 115 46 2.5 235 211 24 0.102128
GCA_006376435.1_ASM637643v1_genomic 1.719 220 119 51 2.33333 245 220 25 0.102041
GCA_006376415.1_ASM637641v1_genomic 1.598 218 119 50 2.38 230 218 12 0.0521739
GCA_003086155.1_ASM308615v1_genomic 1.652 214 119 49 2.42857 242 214 28 0.115702
GCA_001617725.1_Yersinia_pestis_M-1484_genomic 1.433 256 149 54 2.75926 280 256 24 0.0857143
GCA_001617705.1_Yersinia_pestis_C-791_genomic 1.767 215 121 49 2.46939 237 215 22 0.092827
GCA_000834495.1_ASM83449v1_genomic 1.250 34 17 6 2.83333 37 34 3 0.0810811
GCA_000986995.1_YPES001-SEQ-2-ASM-1_genomic 1.029 126 57 25 2.28 144 126 18 0.125
GCA_003797205.1_ASM379720v1_genomic 2.048 61 29 11 2.63636 84 61 23 0.27381
