sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	population_color	population	geometry	root_rtt_dist	clade_rtt_dist	population_rtt_dist	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	variant_qc	tstv_outlier
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1	North America	1992.0	29.0	0.0	38.7251776	-105.607716	Human	NA	NA	Human	Human	#ff0000	1.ORI	POINT (-105.607716 38.7251776)	7.316859999999999e-05	NA	6.3815e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0046e-06	pass	0.0
GCA_009909635.1_ASM990963v1_genomic	9_10	1923.0	-98	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Medievalis	2.MED	2.MED1	SAMN13632815	KEEP: Assembly Modern	2	Europe	1923.0	98.0	0.0	47.6222451	40.7957942	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	#c5e88a	2.MED	POINT (40.7957942 47.6222451)	7.305009999999997e-05	NA	9.658199999999998e-06	1.854	216.0	121.0	51.0	2.37255	1.0	0.0196078	242.0	216.0	26.0	0.107438	2.1201e-06	pass	0.0
GCA_009669545.1_ASM966954v1_genomic	42126	2006.0	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722925	KEEP: Assembly Modern	0	Asia	2006.0	15.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4184699999999976e-05	NA	1.1556599999999992e-05	1.935	246.0	134.0	60.0	2.23333	0.0	0.0	271.0	246.0	25.0	0.0922509	0.0	pass	0.0
GCA_009669555.1_ASM966955v1_genomic	42123	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722924	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.470349999999995e-05	NA	1.2075399999999983e-05	2.119	241.0	133.0	58.0	2.2931	0.0	0.0	258.0	241.0	17.0	0.06589149999999999	2.356e-07	pass	0.0
GCA_009669565.1_ASM966956v1_genomic	42118	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722923	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.493899999999995e-05	NA	1.2310899999999982e-05	2.0	247.0	135.0	60.0	2.25	0.0	0.0	265.0	247.0	18.0	0.0679245	4.711e-07	pass	0.0
GCA_009669605.1_ASM966960v1_genomic	42117	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722922	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.460909999999996e-05	NA	1.1980999999999986e-05	2.012	239.0	132.0	58.0	2.2758599999999998	0.0	0.0	260.0	239.0	21.0	0.0807692	2.356e-07	pass	0.0
GCA_009669625.1_ASM966962v1_genomic	42116	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722921	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.475019999999997e-05	NA	1.2122099999999989e-05	1.8840000000000001	240.0	131.0	60.0	2.1833299999999998	0.0	0.0	269.0	240.0	29.0	0.107807	2.36e-08	pass	0.0
GCA_009669675.1_ASM966967v1_genomic	42114	2004.0	-17	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722920	KEEP: Assembly Modern	0	Asia	2004.0	17.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.498569999999997e-05	NA	1.2357599999999988e-05	2.0709999999999997	238.0	132.0	59.0	2.2372900000000002	0.0	0.0	256.0	238.0	18.0	0.0703125	2.36e-08	pass	0.0
GCA_009669635.1_ASM966963v1_genomic	42113	2003.0	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722919	KEEP: Assembly Modern	0	Asia	2003.0	18.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.517409999999998e-05	NA	1.254599999999999e-05	2.046	241.0	133.0	60.0	2.21667	0.0	0.0	254.0	241.0	13.0	0.0511811	2.356e-07	pass	0.0
GCA_009669665.1_ASM966966v1_genomic	42110	2002.0	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722918	KEEP: Assembly Modern	0	Asia	2002.0	19.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4302699999999964e-05	NA	1.1674599999999988e-05	2.08	241.0	131.0	56.0	2.33929	4.0	0.07142860000000001	262.0	241.0	21.0	0.0801527	2.36e-08	pass	0.0
