sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1	North America	1992.0	29.0	0.0	38.7251776	-105.607716
GCA_009670865.1_ASM967086v1_genomic	42012	1971.0	-50	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722853	KEEP: Assembly Modern Placement	0	Asia	1971.0	50.0	0.0	42.4804953	85.4633464
GCA_008630435.1_ASM863043v1_genomic	C-719	1996.0	-25	Russia	Karachay-Cherkessia	64.6863136	97.7453061	43.7368326	41.7267991	Medievalis	2.MED	2.MED0	SAMN12721146	KEEP: Assembly Modern Placement	2	Europe	1996.0	25.0	0.0	43.7368326	41.7267991
GCA_000169635.1_ASM16963v1_genomic	MG05-1020	2005.0	-16	Madagascar	?	-18.9249604	46.441642200000004	?	?	Orientalis	1.ORI	1.ORI3	SAMN02404403	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 Placement	1	Africa	2005.0	16.0	0.0	-18.9249604	46.441642200000004
GCA_000170275.1_ASM17027v1_genomic	F1991016	1991.0	-30	China	Yunnan	35.000074	104.999927	25.0	102.0	Orientalis	1.ORI	1.ORI2	SAMN02404399	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 Placement	1	Asia	1991.0	30.0	0.0	25.0	102.0
GCA_001294975.1_ASM129497v1_genomic	A-1804	1980.0	-41	Kyrgyzstan	Talas Region	41.5089324	74.724091	42.4451869	72.14310491939636	Talassica	0.PE	0.PE4t	SAMN03861481	KEEP: Assembly Modern Kislichkina 2015 Keller 2019 Placement	0	Asia	1980.0	41.0	0.0	42.4451869	72.14310491939636
GCA_002981895.1_ASM298189v1_genomic	I-2231	1972.0	-49	Mongolia	Bayan-Ölgii	46.825038799999994	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08625964	KEEP: Assembly Modern Kislichkina 2018b Keller 2019 Placement	0	Asia	1972.0	49.0	0.0	48.5470083	89.8549358
GCA_003074535.1_ASM307453v1_genomic	5M	1952.0	-69	Kyrgyzstan	Issyk-Kul Region	41.5089324	74.724091	42.06103415	78.17073232346421	Antiqua	0.ANT	0.ANT5	SAMN08866745	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 Placement	0	Asia	1952.0	69.0	0.0	42.06103415	78.17073232346421
GCA_002005285.1_ASM200528v1_genomic	195/P	[1898:1950]	[-123:-71]	India	Maharashtra	22.3511148	78.6677428	18.906835600000004	75.6741579	Antiqua	2.ANT	2.ANT1	SAMN06161235	KEEP: Assembly Modern Placement	2	Asia	1924.0	97.0	26.0	18.906835600000004	75.6741579
GCA_003074235.1_ASM307423v1_genomic	I-3244	1988.0	-33	Mongolia	Bayan-Ölgii	46.825038799999994	103.8499736	48.5470083	89.8549358	Antiqua	4.ANT	4.ANT1	SAMN05225370	KEEP: Assembly Modern Placement	4	Asia	1988.0	33.0	0.0	48.5470083	89.8549358
