traits	lat	lon
Reference	38.7251776	-105.607716
GCA_009670865.1_ASM967086v1_genomic	42.4804953	85.4633464
GCA_008630435.1_ASM863043v1_genomic	43.7368326	41.7267991
GCA_000169635.1_ASM16963v1_genomic	-18.9249604	46.4416422
GCA_000170275.1_ASM17027v1_genomic	25.0	102.0
GCA_001294975.1_ASM129497v1_genomic	42.445186899999996	72.14310491939636
GCA_002981895.1_ASM298189v1_genomic	48.5470083	89.8549358
GCA_003074535.1_ASM307453v1_genomic	42.06103415	78.1707323234642
GCA_002005285.1_ASM200528v1_genomic	18.9068356	75.6741579
GCA_003074235.1_ASM307423v1_genomic	48.5470083	89.8549358
GCA_000835005.1_ASM83500v1_genomic	-1.3031689499999999	36.826061224105075
GCA_000325365.1_ASM32536v1_genomic	25.0	102.0
GCA_000325305.1_ASM32530v1_genomic	45.3463139	95.9325806
GCA_000324725.1_ASM32472v1_genomic	38.0000001	101.9999999
GCA_000324565.1_ASM32456v1_genomic	43.2443242	114.3251664
GCA_000324065.1_ASM32406v1_genomic	42.4804953	85.4633464
GCA_000323965.1_ASM32396v1_genomic	35.40709525	95.95211573241954
GCA_000323945.1_ASM32394v1_genomic	43.2443242	114.3251664
GCA_000323845.1_ASM32384v1_genomic	35.40709525	95.95211573241954
GCA_000323565.1_ASM32356v1_genomic	42.4804953	85.4633464
GCA_000323505.1_ASM32350v1_genomic	35.40709525	95.95211573241954
GCA_000323485.1_ASM32348v1_genomic	35.40709525	95.95211573241954
GCA_000320465.1_ASM32046v1_genomic	42.4804953	85.4633464
GCA_000269145.1_ASM26914v1_genomic	-8.0	-78.5
GCA_016102905.1_ASM1610290v1_genomic	46.2313018	45.3275745
GCA_015158755.1_ASM1515875v1_genomic	29.8556443	90.8749807
